transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000009088,-0.156,0.022,0.152
ENSGACT00000009091,0.279,0.060,0.266
ENSGACT00000009092,-0.040,0.370,0.641
ENSGACT00000009093,-0.079,0.180,0.527
ENSGACT00000009106,-0.101,0.130,0.465
ENSGACT00000009108,-0.045,0.810,1.000
ENSGACT00000009115,0.325,0.001,0.014
ENSGACT00000009119,-0.791,0.001,0.014
ENSGACT00000009120,0.182,0.001,0.014
ENSGACT00000009123,-0.215,0.016,0.122
ENSGACT00000009128,0.020,0.612,0.816
ENSGACT00000009131,0.051,0.724,0.883
ENSGACT00000009132,-0.433,0.001,0.014
ENSGACT00000009133,0.012,0.620,0.816
ENSGACT00000009137,-0.120,0.180,0.527
ENSGACT00000009139,-0.109,0.062,0.266
ENSGACT00000009141,-0.024,0.642,0.816
ENSGACT00000009143,-0.216,0.118,0.465
ENSGACT00000009144,-0.090,0.190,0.537
ENSGACT00000009146,-0.013,0.844,1.000
ENSGACT00000009147,0.099,0.592,0.816
ENSGACT00000009149,-0.068,0.342,0.641
ENSGACT00000009151,-0.027,0.330,0.641
ENSGACT00000009154,-0.231,0.010,0.097
ENSGACT00000009156,0.108,0.172,0.511
ENSGACT00000009158,0.013,0.888,1.000
ENSGACT00000009166,0.054,0.760,0.947
ENSGACT00000009167,-0.845,0.001,0.014
ENSGACT00000009170,0.052,0.114,0.465
ENSGACT00000009180,0.024,0.902,1.000
ENSGACT00000009181,0.630,0.001,0.014
ENSGACT00000009184,0.283,0.256,0.545
ENSGACT00000009186,0.446,0.001,0.014
ENSGACT00000009187,0.600,0.001,0.014
ENSGACT00000009188,0.138,0.010,0.097
ENSGACT00000009193,0.265,0.126,0.465
ENSGACT00000009195,0.054,0.340,0.641
ENSGACT00000009196,0.391,0.001,0.014
ENSGACT00000009203,-0.085,0.770,0.947
ENSGACT00000009206,0.105,0.074,0.325
ENSGACT00000009208,-0.160,0.110,0.465
ENSGACT00000009210,0.009,0.888,1.000
ENSGACT00000009211,0.175,0.038,0.208
ENSGACT00000009212,-0.006,0.996,1.000
ENSGACT00000009213,0.214,0.010,0.097
ENSGACT00000009214,-0.126,0.054,0.266
ENSGACT00000009220,0.258,0.008,0.073
ENSGACT00000009223,-0.283,0.038,0.208
ENSGACT00000009225,0.013,0.932,1.000
ENSGACT00000009229,0.045,0.508,0.816
ENSGACT00000009230,-0.131,0.182,0.527
ENSGACT00000009231,0.046,0.626,0.816
ENSGACT00000009233,-0.046,0.782,1.000
ENSGACT00000009239,-0.067,0.162,0.511
ENSGACT00000009241,0.235,0.006,0.068
ENSGACT00000009244,0.209,0.001,0.014
ENSGACT00000009246,-0.103,0.174,0.511
ENSGACT00000009254,-0.958,0.001,0.014
ENSGACT00000009258,0.127,0.108,0.465
ENSGACT00000009259,0.041,0.394,0.708
ENSGACT00000009260,0.535,0.001,0.014
ENSGACT00000009271,-0.044,0.392,0.708
ENSGACT00000009273,-0.009,0.998,1.000
ENSGACT00000009274,0.139,0.002,0.043
ENSGACT00000009278,-0.167,0.130,0.465
ENSGACT00000009281,0.034,0.688,0.862
ENSGACT00000009282,-0.218,0.016,0.122
ENSGACT00000009284,0.145,0.016,0.122
ENSGACT00000009285,0.102,0.116,0.465
ENSGACT00000009289,-0.323,0.208,0.545
ENSGACT00000009295,0.096,0.070,0.309
ENSGACT00000009298,0.253,0.076,0.325
ENSGACT00000009299,-0.240,0.028,0.163
ENSGACT00000009304,0.007,0.988,1.000
ENSGACT00000009306,-0.033,0.638,0.816
ENSGACT00000009307,0.325,0.001,0.014
ENSGACT00000009309,-0.121,0.058,0.266
ENSGACT00000009313,0.011,0.922,1.000
ENSGACT00000009320,-0.001,0.788,1.000
ENSGACT00000009322,-0.285,0.001,0.014
ENSGACT00000009323,0.075,0.608,0.816
ENSGACT00000009329,-0.284,0.001,0.014
ENSGACT00000009331,-0.217,0.028,0.163
ENSGACT00000009335,0.032,0.550,0.816
ENSGACT00000009340,0.115,0.040,0.254
ENSGACT00000009341,0.174,0.050,0.254
ENSGACT00000009344,0.563,0.001,0.014
ENSGACT00000009349,0.331,0.012,0.102
ENSGACT00000009350,-0.225,0.010,0.097
ENSGACT00000009352,0.480,0.001,0.014
ENSGACT00000009354,-0.669,0.001,0.014
ENSGACT00000009358,-1.514,0.001,0.014
ENSGACT00000009363,1.001,0.001,0.014
ENSGACT00000009364,-0.231,0.001,0.014
ENSGACT00000009367,-0.208,0.032,0.191
ENSGACT00000009368,0.060,0.576,0.816
ENSGACT00000009369,0.175,0.004,0.068
ENSGACT00000009370,-0.309,0.024,0.161
ENSGACT00000009374,-0.070,0.344,0.641
ENSGACT00000009382,0.123,0.001,0.014
ENSGACT00000009383,0.069,0.102,0.465
ENSGACT00000009387,0.088,0.256,0.545
ENSGACT00000009393,-0.077,0.676,0.862
ENSGACT00000009395,0.279,0.030,0.183
ENSGACT00000009399,-0.155,0.272,0.545
ENSGACT00000009400,0.105,0.218,0.545
ENSGACT00000009402,0.071,0.346,0.641
ENSGACT00000009403,-0.006,0.608,0.816
ENSGACT00000009405,-0.609,0.001,0.014
ENSGACT00000009406,0.226,0.001,0.014
ENSGACT00000009409,-0.227,0.001,0.014
ENSGACT00000009410,0.303,0.001,0.014
ENSGACT00000009414,-0.050,0.836,1.000
ENSGACT00000009416,0.306,0.001,0.014
ENSGACT00000009420,0.133,0.286,0.597
ENSGACT00000009421,-0.098,0.094,0.343
ENSGACT00000009429,-0.051,0.546,0.816
ENSGACT00000009431,0.032,0.600,0.816
ENSGACT00000009432,0.602,0.001,0.014
ENSGACT00000009434,0.199,0.002,0.043
ENSGACT00000009437,-0.132,0.018,0.152
ENSGACT00000009441,-0.053,0.490,0.816
ENSGACT00000009443,0.105,0.022,0.152
ENSGACT00000009447,-0.179,0.001,0.014
ENSGACT00000009452,-0.133,0.080,0.325
ENSGACT00000009453,0.045,0.814,1.000
ENSGACT00000009455,0.037,0.400,0.708
ENSGACT00000009464,-0.068,0.478,0.783
ENSGACT00000009466,-0.748,0.001,0.014
ENSGACT00000009472,0.092,0.262,0.545
ENSGACT00000009475,0.104,0.112,0.465
ENSGACT00000009476,-0.301,0.006,0.068
ENSGACT00000009479,0.096,0.186,0.537
ENSGACT00000009488,0.268,0.001,0.014
ENSGACT00000009489,0.029,0.556,0.816
ENSGACT00000009494,0.096,0.216,0.545
ENSGACT00000009495,0.113,0.086,0.325
ENSGACT00000009496,-0.705,0.001,0.014
ENSGACT00000009499,-0.018,0.908,1.000
ENSGACT00000009502,-0.053,0.662,0.862
ENSGACT00000009510,0.277,0.001,0.014
ENSGACT00000009511,-0.055,0.254,0.545
ENSGACT00000009513,0.023,0.730,0.883
ENSGACT00000009515,-0.867,0.001,0.014
ENSGACT00000009518,0.218,0.132,0.465
ENSGACT00000009519,0.013,0.786,1.000
ENSGACT00000009521,-0.143,0.214,0.545
ENSGACT00000009529,0.092,0.001,0.014
ENSGACT00000009532,-0.536,0.001,0.014
ENSGACT00000009536,-0.052,0.470,0.783
ENSGACT00000009539,0.094,0.042,0.254
ENSGACT00000009540,-0.061,0.236,0.545
ENSGACT00000009545,0.421,0.004,0.068
ENSGACT00000009553,-0.233,0.001,0.014
ENSGACT00000009554,0.205,0.004,0.068
ENSGACT00000009555,0.168,0.030,0.183
ENSGACT00000009558,-0.105,0.168,0.511
ENSGACT00000009560,0.117,0.042,0.254
ENSGACT00000009562,-0.072,0.488,0.783
ENSGACT00000009567,-0.071,0.290,0.640
ENSGACT00000009568,0.352,0.001,0.014
ENSGACT00000009575,0.038,0.538,0.816
ENSGACT00000009577,-0.008,0.956,1.000
ENSGACT00000009578,0.024,0.978,1.000
ENSGACT00000009579,-0.005,0.802,1.000
ENSGACT00000009581,-0.205,0.001,0.014
ENSGACT00000009582,-0.142,0.042,0.254
ENSGACT00000009584,0.104,0.218,0.545
ENSGACT00000009588,0.002,0.964,1.000
ENSGACT00000009590,-0.036,0.584,0.816
ENSGACT00000009591,-0.774,0.001,0.014
ENSGACT00000009592,0.011,0.666,0.862
ENSGACT00000009594,-0.322,0.001,0.014
ENSGACT00000009596,-0.262,0.002,0.043
ENSGACT00000009597,0.069,0.410,0.708
ENSGACT00000009598,0.121,0.004,0.068
ENSGACT00000009599,-1.000,0.001,0.014
ENSGACT00000009602,-0.068,0.122,0.465
ENSGACT00000009604,-0.137,0.064,0.266
ENSGACT00000009610,0.181,0.002,0.043
ENSGACT00000009612,0.057,0.216,0.545
ENSGACT00000009613,0.031,0.516,0.816
ENSGACT00000009614,0.399,0.001,0.014
ENSGACT00000009615,0.306,0.001,0.014
ENSGACT00000009619,0.063,0.340,0.641
ENSGACT00000009620,-0.340,0.001,0.014
ENSGACT00000009621,-0.072,0.182,0.527
ENSGACT00000009623,0.204,0.034,0.206
ENSGACT00000009624,-0.143,0.004,0.068
ENSGACT00000009625,0.145,0.010,0.097
ENSGACT00000009626,0.219,0.001,0.014
ENSGACT00000009627,0.060,0.262,0.545
ENSGACT00000009630,-0.076,0.164,0.511
ENSGACT00000009633,0.475,0.001,0.014
ENSGACT00000009636,-0.029,0.558,0.816
ENSGACT00000009639,0.141,0.112,0.465
ENSGACT00000009641,-0.065,0.648,0.862
ENSGACT00000009648,0.035,0.372,0.708
ENSGACT00000009651,0.006,0.670,0.862
ENSGACT00000009653,-0.001,0.940,1.000
ENSGACT00000009655,-0.091,0.174,0.511
ENSGACT00000009658,-0.177,0.001,0.014
ENSGACT00000009660,0.125,0.134,0.498
ENSGACT00000009661,0.369,0.006,0.068
ENSGACT00000009662,0.043,0.264,0.545
ENSGACT00000009664,0.741,0.001,0.014
ENSGACT00000009667,0.248,0.002,0.043
ENSGACT00000009670,-1.032,0.001,0.014
ENSGACT00000009676,0.043,0.382,0.708
ENSGACT00000009677,0.183,0.088,0.343
ENSGACT00000009682,-0.595,0.001,0.014
ENSGACT00000009684,-0.149,0.210,0.545
ENSGACT00000009685,0.142,0.068,0.271
ENSGACT00000009688,-0.023,0.846,1.000
ENSGACT00000009698,-0.201,0.002,0.043
ENSGACT00000009699,0.685,0.001,0.014
ENSGACT00000009705,-0.002,0.826,1.000
ENSGACT00000009708,0.712,0.001,0.014
ENSGACT00000009710,-0.795,0.001,0.014
ENSGACT00000009711,0.376,0.001,0.014
ENSGACT00000009716,0.338,0.012,0.102
ENSGACT00000009719,-0.009,0.860,1.000
ENSGACT00000009722,0.237,0.006,0.068
ENSGACT00000009723,0.362,0.001,0.014
ENSGACT00000009726,0.222,0.002,0.043
ENSGACT00000009728,-0.017,0.836,1.000
ENSGACT00000009730,-0.042,0.386,0.708
ENSGACT00000009733,-0.739,0.001,0.014
ENSGACT00000009736,0.050,0.418,0.783
ENSGACT00000009737,-0.083,0.001,0.014
ENSGACT00000009738,0.047,0.714,0.883
ENSGACT00000009741,-0.214,0.072,0.309
ENSGACT00000009743,-0.231,0.001,0.014
ENSGACT00000009747,0.338,0.001,0.014
ENSGACT00000009748,-0.020,0.836,1.000
ENSGACT00000009750,-0.031,0.690,0.862
ENSGACT00000009751,-0.007,0.930,1.000
ENSGACT00000009753,0.051,0.354,0.641
ENSGACT00000009754,0.199,0.001,0.014
ENSGACT00000009757,0.207,0.001,0.014
ENSGACT00000009764,0.101,0.102,0.465
ENSGACT00000009765,0.043,0.500,0.816
ENSGACT00000009767,0.050,0.388,0.708
ENSGACT00000009769,-0.031,0.506,0.816
ENSGACT00000009773,0.001,0.972,1.000
ENSGACT00000009776,0.392,0.001,0.014
ENSGACT00000009777,0.024,0.770,0.947
ENSGACT00000009781,-0.195,0.162,0.511
ENSGACT00000009784,0.147,0.001,0.014
ENSGACT00000009785,-0.986,0.001,0.014
ENSGACT00000009786,0.217,0.042,0.254
ENSGACT00000009789,0.239,0.002,0.043
ENSGACT00000009790,-0.049,0.216,0.545
ENSGACT00000009794,-0.257,0.001,0.014
ENSGACT00000009798,0.001,0.598,0.816
ENSGACT00000009799,-1.181,0.001,0.014
ENSGACT00000009801,-0.134,0.001,0.014
ENSGACT00000009803,-0.030,0.400,0.708
ENSGACT00000009805,0.119,0.150,0.511
ENSGACT00000009807,0.001,0.672,0.862
ENSGACT00000009808,-0.325,0.094,0.343
ENSGACT00000009809,0.059,0.236,0.545
ENSGACT00000009812,0.082,0.036,0.206
ENSGACT00000009817,-1.092,0.001,0.014
ENSGACT00000009819,0.078,0.560,0.816
ENSGACT00000009820,0.097,0.040,0.254
ENSGACT00000009822,0.088,0.028,0.163
ENSGACT00000009831,-0.287,0.050,0.254
ENSGACT00000009832,0.083,0.104,0.465
ENSGACT00000009834,-0.157,0.144,0.503
ENSGACT00000009836,0.011,0.688,0.862
ENSGACT00000009839,-0.167,0.144,0.503
ENSGACT00000009842,0.038,0.826,1.000
ENSGACT00000009847,0.062,0.340,0.641
ENSGACT00000009850,0.123,0.002,0.043
ENSGACT00000009851,-0.132,0.084,0.325
ENSGACT00000009852,0.001,0.924,1.000
ENSGACT00000009853,-0.074,0.164,0.511
ENSGACT00000009856,-0.009,0.734,0.883
ENSGACT00000009859,0.044,0.836,1.000
ENSGACT00000009862,0.745,0.001,0.014
ENSGACT00000009864,0.019,0.360,0.641
ENSGACT00000009867,-0.140,0.006,0.068
ENSGACT00000009869,0.225,0.001,0.014
ENSGACT00000009870,0.129,0.008,0.073
ENSGACT00000009872,0.500,0.001,0.014
ENSGACT00000009873,-0.058,0.252,0.545
ENSGACT00000009884,0.499,0.001,0.014
ENSGACT00000009888,-0.092,0.190,0.537
ENSGACT00000009889,0.157,0.022,0.152
ENSGACT00000009891,0.256,0.170,0.511
ENSGACT00000009896,-0.641,0.001,0.014
ENSGACT00000009900,-0.120,0.192,0.545
ENSGACT00000009902,0.141,0.048,0.254
ENSGACT00000009907,0.127,0.082,0.325
ENSGACT00000009911,0.203,0.270,0.545
ENSGACT00000009914,0.263,0.001,0.014
ENSGACT00000009915,0.170,0.070,0.309
ENSGACT00000009917,-0.936,0.001,0.014
ENSGACT00000009924,-0.034,0.120,0.465
ENSGACT00000009926,0.422,0.001,0.014
ENSGACT00000009933,-0.043,0.670,0.862
ENSGACT00000009935,0.151,0.001,0.014
ENSGACT00000009937,0.067,0.418,0.783
ENSGACT00000009940,-0.140,0.038,0.208
ENSGACT00000009942,0.537,0.034,0.206
ENSGACT00000009943,-0.125,0.158,0.511
ENSGACT00000009944,0.186,0.008,0.073
ENSGACT00000009945,0.009,0.874,1.000
ENSGACT00000009949,0.043,0.642,0.816
ENSGACT00000009951,0.100,0.184,0.527
ENSGACT00000009955,0.030,0.580,0.816
ENSGACT00000009957,0.048,0.594,0.816
ENSGACT00000009960,-0.100,0.132,0.465
ENSGACT00000009961,-0.018,0.816,1.000
ENSGACT00000009962,-0.038,0.904,1.000
ENSGACT00000009967,0.071,0.402,0.708
ENSGACT00000009968,0.041,0.544,0.816
ENSGACT00000009972,-0.358,0.001,0.014
ENSGACT00000009973,-0.092,0.360,0.641
ENSGACT00000009975,0.171,0.004,0.068
ENSGACT00000009978,-0.061,0.714,0.883
ENSGACT00000009980,0.114,0.124,0.465
ENSGACT00000009981,-0.122,0.558,0.816
ENSGACT00000009983,0.008,0.862,1.000
ENSGACT00000009985,0.202,0.066,0.271
ENSGACT00000009987,0.357,0.001,0.014
ENSGACT00000009990,0.049,0.442,0.783
ENSGACT00000009992,-0.025,0.978,1.000
ENSGACT00000009993,-0.064,0.366,0.641
ENSGACT00000009996,-0.573,0.001,0.014
ENSGACT00000009998,0.271,0.020,0.152
ENSGACT00000010001,0.236,0.001,0.014
ENSGACT00000010002,0.021,0.558,0.816
ENSGACT00000010003,0.326,0.001,0.014
ENSGACT00000010004,-0.092,0.448,0.783
ENSGACT00000010009,0.354,0.001,0.014
ENSGACT00000010010,0.047,0.334,0.641
ENSGACT00000010011,-0.078,0.158,0.511
ENSGACT00000010012,0.496,0.001,0.014
ENSGACT00000010013,-0.275,0.001,0.014
ENSGACT00000010014,0.145,0.282,0.554
ENSGACT00000010018,-0.434,0.001,0.014
ENSGACT00000010020,-0.029,0.494,0.816
ENSGACT00000010022,0.104,0.088,0.343
ENSGACT00000010025,0.019,0.970,1.000
ENSGACT00000010026,-0.293,0.050,0.254
ENSGACT00000010027,0.138,0.146,0.511
ENSGACT00000010032,0.532,0.001,0.014
ENSGACT00000010035,-0.019,0.452,0.783
ENSGACT00000010040,-0.040,0.422,0.783
ENSGACT00000010041,-0.111,0.306,0.641
ENSGACT00000010042,0.053,0.274,0.554
ENSGACT00000010043,-0.182,0.590,0.816
ENSGACT00000010044,0.002,0.712,0.883
ENSGACT00000010050,0.137,0.116,0.465
ENSGACT00000010051,-0.165,0.080,0.325
ENSGACT00000010053,0.216,0.042,0.254
ENSGACT00000010054,0.088,0.252,0.545
ENSGACT00000010055,-0.195,0.001,0.014
ENSGACT00000010056,-0.061,0.696,0.862
ENSGACT00000010059,0.017,0.904,1.000
ENSGACT00000010062,-0.094,0.170,0.511
ENSGACT00000010063,0.117,0.001,0.014
ENSGACT00000010065,0.004,0.688,0.862
ENSGACT00000010066,0.200,0.032,0.191
ENSGACT00000010068,0.106,0.058,0.266
ENSGACT00000010073,-0.078,0.532,0.816
ENSGACT00000010074,0.186,0.048,0.254
ENSGACT00000010075,-0.024,0.848,1.000
ENSGACT00000010076,-0.016,0.796,1.000
ENSGACT00000010077,-0.941,0.001,0.014
ENSGACT00000010090,0.133,0.006,0.068
ENSGACT00000010092,0.354,0.270,0.545
ENSGACT00000010093,-0.023,0.970,1.000
ENSGACT00000010097,-0.038,0.122,0.465
ENSGACT00000010098,0.050,0.460,0.783
ENSGACT00000010109,0.246,0.001,0.014
ENSGACT00000010116,0.076,0.272,0.545
ENSGACT00000010117,0.027,0.446,0.783
ENSGACT00000010119,-0.376,0.004,0.068
ENSGACT00000010121,0.071,0.444,0.783
ENSGACT00000010123,-0.120,0.136,0.503
ENSGACT00000010127,0.911,0.001,0.014
ENSGACT00000010128,0.360,0.001,0.014
ENSGACT00000010129,-0.040,0.334,0.641
ENSGACT00000010131,-0.137,0.034,0.206
ENSGACT00000010134,0.096,0.308,0.641
ENSGACT00000010138,0.158,0.092,0.343
ENSGACT00000010141,0.666,0.001,0.014
ENSGACT00000010143,0.091,0.126,0.465
ENSGACT00000010144,-0.083,0.036,0.206
ENSGACT00000010145,0.048,0.704,0.862
ENSGACT00000010146,0.184,0.001,0.014
ENSGACT00000010147,-0.100,0.268,0.545
ENSGACT00000010149,0.283,0.001,0.014
ENSGACT00000010150,0.158,0.001,0.014
ENSGACT00000010152,0.228,0.018,0.152
ENSGACT00000010155,0.100,0.010,0.097
ENSGACT00000010156,0.157,0.014,0.122
ENSGACT00000010158,0.196,0.002,0.043
ENSGACT00000010159,-0.519,0.001,0.014
ENSGACT00000010161,0.239,0.018,0.152
ENSGACT00000010162,-0.134,0.086,0.325
ENSGACT00000010163,-0.324,0.054,0.266
ENSGACT00000010172,-0.463,0.001,0.014
ENSGACT00000010174,-0.210,0.006,0.068
ENSGACT00000010175,-0.199,0.218,0.545
ENSGACT00000010177,-0.036,0.572,0.816
ENSGACT00000010178,-0.424,0.001,0.014
ENSGACT00000010181,-0.022,0.606,0.816
ENSGACT00000010182,0.268,0.001,0.014
ENSGACT00000010185,0.750,0.001,0.014
ENSGACT00000010188,0.044,0.160,0.511
ENSGACT00000010189,0.208,0.028,0.163
ENSGACT00000010192,-0.071,0.254,0.545
ENSGACT00000010198,0.463,0.001,0.014
ENSGACT00000010199,0.021,0.452,0.783
ENSGACT00000010201,-0.065,0.292,0.640
ENSGACT00000010202,0.056,0.392,0.708
ENSGACT00000010204,-0.051,0.798,1.000
ENSGACT00000010206,-0.225,0.004,0.068
ENSGACT00000010207,-0.058,0.272,0.545
ENSGACT00000010208,-0.109,0.504,0.816
ENSGACT00000010212,-0.001,0.638,0.816
ENSGACT00000010214,0.060,0.228,0.545
ENSGACT00000010220,-0.068,0.478,0.783
ENSGACT00000010221,-0.151,0.204,0.545
ENSGACT00000010224,-0.137,0.178,0.527
ENSGACT00000010225,-0.076,0.086,0.325
ENSGACT00000010226,0.027,0.572,0.816
ENSGACT00000010232,0.041,0.430,0.783
ENSGACT00000010233,0.354,0.001,0.014
ENSGACT00000010234,0.154,0.084,0.325
ENSGACT00000010238,0.028,0.702,0.862
ENSGACT00000010243,-0.070,0.632,0.816
ENSGACT00000010246,0.231,0.001,0.014
ENSGACT00000010248,-0.792,0.001,0.014
ENSGACT00000010250,0.196,0.001,0.014
ENSGACT00000010252,0.100,0.004,0.068
ENSGACT00000010253,-0.019,0.706,0.862
ENSGACT00000010260,0.305,0.001,0.014
ENSGACT00000010262,-0.168,0.020,0.152
ENSGACT00000010263,-0.419,0.001,0.014
ENSGACT00000010265,0.009,0.798,1.000
ENSGACT00000010267,0.243,0.001,0.014
ENSGACT00000010268,0.049,0.304,0.641
ENSGACT00000010270,0.267,0.001,0.014
ENSGACT00000010273,0.031,0.742,0.947
ENSGACT00000010277,1.241,0.001,0.014
ENSGACT00000010281,-0.060,0.554,0.816
ENSGACT00000010284,0.035,0.836,1.000
ENSGACT00000010285,-0.955,0.001,0.014
ENSGACT00000010287,0.123,0.038,0.208
ENSGACT00000010288,0.201,0.066,0.271
ENSGACT00000010290,-0.059,0.238,0.545
ENSGACT00000010293,0.191,0.036,0.206
ENSGACT00000010294,0.180,0.002,0.043
ENSGACT00000010297,-0.005,0.958,1.000
ENSGACT00000010302,-0.088,0.324,0.641
ENSGACT00000010308,0.180,0.076,0.325
ENSGACT00000010309,0.065,0.208,0.545
ENSGACT00000010311,0.080,0.286,0.597
ENSGACT00000010319,0.206,0.172,0.511
ENSGACT00000010322,0.774,0.001,0.014
ENSGACT00000010323,0.386,0.001,0.014
ENSGACT00000010328,-0.668,0.001,0.014
ENSGACT00000010329,-0.191,0.004,0.068
ENSGACT00000010333,0.261,0.078,0.325
ENSGACT00000010334,0.147,0.066,0.271
ENSGACT00000010335,-1.089,0.001,0.014
ENSGACT00000010338,-0.081,0.220,0.545
ENSGACT00000010341,0.459,0.001,0.014
ENSGACT00000010344,-0.029,0.356,0.641
ENSGACT00000010345,-0.203,0.038,0.208
ENSGACT00000010348,-0.018,0.478,0.783
ENSGACT00000010350,0.075,0.290,0.640
ENSGACT00000010353,0.031,0.724,0.883
ENSGACT00000010356,-0.068,0.132,0.465
ENSGACT00000010358,0.259,0.001,0.014
ENSGACT00000010359,-0.121,0.001,0.014
ENSGACT00000010361,0.108,0.014,0.122
ENSGACT00000010364,0.397,0.001,0.014
ENSGACT00000010368,0.018,0.650,0.862
ENSGACT00000010370,-0.708,0.001,0.014
ENSGACT00000010371,0.355,0.014,0.122
ENSGACT00000010373,-0.106,0.032,0.191
ENSGACT00000010375,-0.143,0.128,0.465
ENSGACT00000010377,-0.022,0.938,1.000
ENSGACT00000010383,-0.166,0.064,0.266
ENSGACT00000010389,0.033,0.642,0.816
ENSGACT00000010391,0.025,0.286,0.597
ENSGACT00000010392,-0.548,0.001,0.014
ENSGACT00000010395,-0.025,0.846,1.000
ENSGACT00000010397,-0.057,0.350,0.641
ENSGACT00000010398,-0.239,0.040,0.254
ENSGACT00000010399,0.205,0.108,0.465
ENSGACT00000010400,-0.113,0.388,0.708
ENSGACT00000010403,0.129,0.010,0.097
ENSGACT00000010411,3.798,0.001,0.014
ENSGACT00000010415,0.032,0.606,0.816
ENSGACT00000010417,-0.130,0.058,0.266
ENSGACT00000010419,0.020,0.620,0.816
ENSGACT00000010421,-0.072,0.530,0.816
ENSGACT00000010424,-0.005,0.830,1.000
ENSGACT00000010425,0.147,0.004,0.068
ENSGACT00000010427,0.015,0.762,0.947
ENSGACT00000010433,0.326,0.001,0.014
ENSGACT00000010435,-0.490,0.001,0.014
ENSGACT00000010436,-0.491,0.001,0.014
ENSGACT00000010439,-0.127,0.001,0.014
ENSGACT00000010443,0.056,0.608,0.816
ENSGACT00000010444,-0.604,0.001,0.014
ENSGACT00000010453,0.313,0.001,0.014
ENSGACT00000010454,0.192,0.034,0.206
ENSGACT00000010457,0.068,0.212,0.545
ENSGACT00000010463,0.009,0.890,1.000
ENSGACT00000010467,0.106,0.088,0.343
ENSGACT00000010472,-0.727,0.001,0.014
ENSGACT00000010474,0.182,0.026,0.161
ENSGACT00000010475,0.098,0.008,0.073
ENSGACT00000010476,-0.058,0.394,0.708
ENSGACT00000010478,0.073,0.140,0.503
ENSGACT00000010479,-0.015,0.940,1.000
ENSGACT00000010487,-0.001,0.848,1.000
ENSGACT00000010489,0.085,0.352,0.641
ENSGACT00000010491,0.162,0.470,0.783
ENSGACT00000010496,-0.129,0.240,0.545
ENSGACT00000010497,0.054,0.114,0.465
ENSGACT00000010498,0.055,0.162,0.511
ENSGACT00000010502,-0.091,0.140,0.503
ENSGACT00000010505,-0.036,0.412,0.783
ENSGACT00000010507,-0.153,0.006,0.068
ENSGACT00000010508,-0.115,0.198,0.545
ENSGACT00000010510,0.227,0.002,0.043
ENSGACT00000010511,0.050,0.246,0.545
ENSGACT00000010512,0.019,0.988,1.000
ENSGACT00000010517,-0.035,0.546,0.816
ENSGACT00000010526,0.013,0.898,1.000
ENSGACT00000010527,0.067,0.224,0.545
ENSGACT00000010533,-0.176,0.012,0.102
ENSGACT00000010534,0.149,0.154,0.511
ENSGACT00000010536,0.458,0.012,0.102
ENSGACT00000010545,-0.921,0.001,0.014
ENSGACT00000010546,-0.083,0.666,0.862
ENSGACT00000010548,-0.014,0.606,0.816
ENSGACT00000010549,-0.219,0.001,0.014
ENSGACT00000010550,-0.029,0.334,0.641
ENSGACT00000010551,0.536,0.001,0.014
ENSGACT00000010554,-0.021,0.832,1.000
ENSGACT00000010556,0.058,0.390,0.708
ENSGACT00000010558,-0.238,0.004,0.068
ENSGACT00000010561,0.089,0.736,0.947
ENSGACT00000010565,-0.087,0.144,0.503
ENSGACT00000010566,-1.055,0.001,0.014
ENSGACT00000010568,0.361,0.001,0.014
ENSGACT00000010569,0.078,0.034,0.206
ENSGACT00000010572,0.292,0.002,0.043
ENSGACT00000010573,0.122,0.374,0.708
ENSGACT00000010574,0.034,0.294,0.640
ENSGACT00000010575,0.102,0.246,0.545
ENSGACT00000010577,0.064,0.432,0.783
ENSGACT00000010579,-0.139,0.012,0.102
ENSGACT00000010580,0.178,0.001,0.014
ENSGACT00000010582,-0.053,0.450,0.783
ENSGACT00000010583,-0.050,0.406,0.708
ENSGACT00000010585,-0.141,0.212,0.545
ENSGACT00000010588,-0.619,0.001,0.014
ENSGACT00000010591,-0.948,0.001,0.014
ENSGACT00000010592,-0.259,0.028,0.163
ENSGACT00000010596,-0.314,0.001,0.014
ENSGACT00000010598,0.063,0.238,0.545
ENSGACT00000010601,-0.109,0.082,0.325
ENSGACT00000010603,-1.155,0.001,0.014
ENSGACT00000010604,-0.231,0.004,0.068
